index,filename,sha256,bytes,messages,human_messages,assistant_messages,classification,durable_action,supersession_notes
18,18_2026-07-06_Nightfall_campaign_Cheyenne_endgame_mission.txt,5a8c0508212d0c12f4a1ce4b194885080cbba58fa26b84be549c71a698b70e30,336657,28,14,14,ABSORBED_BY_LATER_SOURCE,No direct source landing,Nightfall Cheyenne rev4 and later sources control
19,19_2026-07-08_Developing_the_Man_From_Medan_mission_outline_for_Riptide_Red.txt,b590d97a3aac7d40d9648236c3c24c27c1b1e3c9e35a8e19491348203efc0e99,550360,23,12,11,MAJOR_PROMOTION,Riptide Red mission-burst source,Later Infrastructure Day/STAPLER/UI/CFIM sources control
20,20_2026-07-13_Gray_Ghost_rifle_Nightfall_variant_specifications.txt,3273faa66a71d7b9df11104344f5b90ed42d950229cc0c66e79bc924a90a7e51,175503,22,11,11,ABSORBED_BY_LATER_SOURCE,No direct source landing,GRAY GHOST Nightfall rev3 FINAL controls
21,21_2026-07-13_Project_warriors_Nightfall_installment.txt,0aabcd2950763660fed1994784b8444801f4896ed7858de61a47ecc00cdd7475,253871,10,5,5,ABSORBED_BY_LATER_SOURCE,No direct source landing,Nightfall installment sources control
22,22_2026-07-13_Ducky_and_Lupin_s_Nightfall_campaign_arc.txt,7074b6e5094a6ec3d409921d36c39754e65864eade82c09181556a1a7ecebb68,491254,35,17,18,ABSORBED_BY_LATER_SOURCE,No direct source landing,Nightfall Ducky/Lupin source pages control
23,23_2026-07-15_Hamburg_by_night_beat_sheet.txt,6df19df787e5caf3d6692ff37a1acb8ffaac9e4ca83587f3c7e47818f7350bf7,27998,4,2,2,ABSORBED_BY_LATER_SOURCE,No direct source landing,Hamburg/Nightfall sources control
24,24_2026-07-16_First_person_reload_animation_reference_for_Project_Warriors.txt,b060ec696a22297c19f47eda3d9920129c4e493f2a10d46b6a9653b6ac6b2cf2,95646,10,5,5,MAJOR_PROMOTION,First-person animation reference standard,Current weapon and UI sources control exact config/UI
25,25_2026-07-17_Suppressor_attachment_reference_footage.txt,ec1993080ae1bafbc79cca6a8df42471e18e9475f33b8ebea016eb02f4cc6578,73974,8,4,4,MAJOR_PROMOTION,First-person animation reference standard,Music licensing and UI separation preserved
26,26_2026-07-17_Continuing_UI_design_discussion.txt,2bc7ce3c88c15b31bb9c5af5ea304b2cc75be78901320ff9a3f30620316a1359,284302,30,15,15,ABSORBED_BY_LATER_SOURCE,No direct source landing,PW_UI_Prompt_System_Design_rev1 controls
27,27_2026-07-18_Hasta_la_vista_shotgun_build_design.txt,7ed6d76f632a08fd1685459e7427e289c57483910763a69070f48e285e4da0ff,240301,24,12,12,ABSORBED_BY_LATER_SOURCE,No direct source landing,HASTA LA VISTA and Troy Barry sources control
28,28_2026-07-19_Naming_Ducky_s_CZ_P_09_Huckleberry.txt,5fd453e7701b21563760d9177dd4d28166c3fcf5df12671fec9cf314bc2744a7,179371,14,7,7,ABSORBED_BY_LATER_SOURCE,No direct source landing,HUCKLEBERRY and registry sources control
29,29_2026-07-20_Ontological_YAML_structure_for_LLM_project_consistency.txt,753ef84d47edef6e3945eb75bad108ac40d3be5f1cd3138410d74ff8baad9fbd,177260,18,9,9,ABSORBED_BY_LATER_SOURCE,No direct source landing,Current ontology schema/deltas control
30,30_2026-07-20_Weapon_ontology_YAML_review.txt,fe0fca0a24614bf52999966699db06e1b55e7ef61b43d5c0dbbaab2757cfa00c,242072,8,4,4,ABSORBED_BY_LATER_SOURCE,No direct source landing,Current registry/ontology projections control
